prompt,expected_type,next_token,probability,full_text,label
We import,code,a,0.070556640625,We importa,language
We import,code,our,0.0584716796875,We importour,language
We import,code,data,0.05364990234375,We importdata,language
We import,code,this,0.03985595703125,We importthis,language
We import,code,and,0.0247650146484375,We importand,language
We import,code,all,0.02117919921875,We importall,language
We import,code,these,0.019439697265625,We importthese,language
We import,code,from,0.0147857666015625,We importfrom,language
We import,code,some,0.0124969482421875,We importsome,language
We import,code,an,0.011199951171875,We importan,language
We import,code,many,0.010284423828125,We importmany,language
We import,code,,0.0082626342773437,We import,language
We import,code,it,0.0069847106933593,We importit,language
We import,code,two,0.0060691833496093,We importtwo,language
We import,code,into,0.0050697326660156,We importinto,language
We import,code,you,0.0050086975097656,We importyou,language
We import,code,",",0.0048027038574218,"We import,",language
We import,code,several,0.0047416687011718,We importseveral,language
We import,code,them,0.0039634704589843,We importthem,language
The ORM is,code,a,0.1671142578125,The ORM isa,language
The ORM is,code,the,0.0833740234375,The ORM isthe,language
The ORM is,code,an,0.055511474609375,The ORM isan,language
The ORM is,code,not,0.05096435546875,The ORM isnot,language
The ORM is,code,responsible,0.050537109375,The ORM isresponsible,language
The ORM is,code,used,0.033447265625,The ORM isused,language
The ORM is,code,designed,0.0159149169921875,The ORM isdesigned,language
The ORM is,code,in,0.0126876831054687,The ORM isin,language
The ORM is,code,very,0.0125885009765625,The ORM isvery,language
The ORM is,code,built,0.0110244750976562,The ORM isbuilt,language
The ORM is,code,based,0.01068115234375,The ORM isbased,language
The ORM is,code,also,0.0096511840820312,The ORM isalso,language
The ORM is,code,part,0.0092849731445312,The ORM ispart,language
The ORM is,code,one,0.0083160400390625,The ORM isone,language
The ORM is,code,just,0.0081253051757812,The ORM isjust,language
The ORM is,code,now,0.0077552795410156,The ORM isnow,language
The ORM is,code,currently,0.007171630859375,The ORM iscurrently,language
The ORM is,code,what,0.0063285827636718,The ORM iswhat,language
The ORM is,code,being,0.0058555603027343,The ORM isbeing,language
The ORM is,code,really,0.00567626953125,The ORM isreally,language
The API is built with,code,[,0.2437744140625,The API is built with[,code
The API is built with,code,the,0.1024169921875,The API is built withthe,language
The API is built with,code,Node,0.0816650390625,The API is built withNode,code
The API is built with,code,Go,0.03948974609375,The API is built withGo,code
The API is built with,code,Fl,0.031494140625,The API is built withFl,code
The API is built with,code,Express,0.0302886962890625,The API is built withExpress,code
The API is built with,code,Python,0.025299072265625,The API is built withPython,code
The API is built with,code,a,0.021636962890625,The API is built witha,language
The API is built with,code,Ruby,0.0213165283203125,The API is built withRuby,code
The API is built with,code,`,0.0175323486328125,The API is built with`,code
The API is built with,code,Spring,0.0165863037109375,The API is built withSpring,code
The API is built with,code,express,0.014190673828125,The API is built withexpress,code
The API is built with,code,Laravel,0.0126190185546875,The API is built withLaravel,code
The API is built with,code,ASP,0.0120468139648437,The API is built withASP,code
The API is built with,code,Django,0.0108795166015625,The API is built withDjango,code
The API is built with,code,PHP,0.010711669921875,The API is built withPHP,code
The API is built with,code,Type,0.0089492797851562,The API is built withType,code
The API is built with,code,Java,0.0084762573242187,The API is built withJava,code
The API is built with,code,Graph,0.008148193359375,The API is built withGraph,code
The API is built with,code,node,0.007904052734375,The API is built withnode,code
GraphQL is implemented with,code,the,0.1212158203125,GraphQL is implemented withthe,language
GraphQL is implemented with,code,[,0.1138916015625,GraphQL is implemented with[,code
GraphQL is implemented with,code,a,0.0794677734375,GraphQL is implemented witha,language
GraphQL is implemented with,code,Graph,0.037567138671875,GraphQL is implemented withGraph,code
GraphQL is implemented with,code,Go,0.0311279296875,GraphQL is implemented withGo,code
GraphQL is implemented with,code,`,0.0266265869140625,GraphQL is implemented with`,code
GraphQL is implemented with,code,PHP,0.019317626953125,GraphQL is implemented withPHP,code
GraphQL is implemented with,code,Node,0.0154037475585937,GraphQL is implemented withNode,code
GraphQL is implemented with,code,an,0.0143661499023437,GraphQL is implemented withan,language
GraphQL is implemented with,code,C,0.0137100219726562,GraphQL is implemented withC,code
GraphQL is implemented with,code,Spring,0.0123825073242187,GraphQL is implemented withSpring,code
GraphQL is implemented with,code,Type,0.0122909545898437,GraphQL is implemented withType,code
GraphQL is implemented with,code,Python,0.0111846923828125,GraphQL is implemented withPython,code
GraphQL is implemented with,code,R,0.0108489990234375,GraphQL is implemented withR,code
GraphQL is implemented with,code,.,0.0093460083007812,GraphQL is implemented with.,language
GraphQL is implemented with,code,Express,0.0091323852539062,GraphQL is implemented withExpress,code
GraphQL is implemented with,code,Java,0.00885009765625,GraphQL is implemented withJava,code
GraphQL is implemented with,code,React,0.0087814331054687,GraphQL is implemented withReact,code
GraphQL is implemented with,code,Types,0.0079345703125,GraphQL is implemented withTypes,code
GraphQL is implemented with,code,[`,0.0068397521972656,GraphQL is implemented with[`,code
The model architecture is,code,based,0.202392578125,The model architecture isbased,language
The model architecture is,code,a,0.058441162109375,The model architecture isa,language
The model architecture is,code,defined,0.048431396484375,The model architecture isdefined,language
The model architecture is,code,the,0.046234130859375,The model architecture isthe,language
The model architecture is,code,shown,0.034881591796875,The model architecture isshown,language
The model architecture is,code,described,0.031524658203125,The model architecture isdescribed,language
The model architecture is,code,designed,0.0273895263671875,The model architecture isdesigned,language
The model architecture is,code,as,0.0271759033203125,The model architecture isas,language
The model architecture is,code,inspired,0.0220184326171875,The model architecture isinspired,language
The model architecture is,code,similar,0.0214996337890625,The model architecture issimilar,language
The model architecture is,code,built,0.0214996337890625,The model architecture isbuilt,language
The model architecture is,code,composed,0.0170135498046875,The model architecture iscomposed,language
The model architecture is,code,implemented,0.0129318237304687,The model architecture isimplemented,language
The model architecture is,code,available,0.0093917846679687,The model architecture isavailable,language
The model architecture is,code,an,0.0088272094726562,The model architecture isan,language
The model architecture is,code,illustrated,0.0077896118164062,The model architecture isillustrated,language
The model architecture is,code,simple,0.0075454711914062,The model architecture issimple,language
The model architecture is,code,very,0.0075454711914062,The model architecture isvery,language
The model architecture is,code,not,0.0074310302734375,The model architecture isnot,language
The model architecture is,code,in,0.0069236755371093,The model architecture isin,language
Training uses optimizer =,code,Adam,0.1947021484375,Training uses optimizer =Adam,code
Training uses optimizer =,code,tf,0.1505126953125,Training uses optimizer =tf,code
Training uses optimizer =,code,tor,0.0579833984375,Training uses optimizer =tor,code
Training uses optimizer =,code,optim,0.055328369140625,Training uses optimizer =optim,code
Training uses optimizer =,code,"""",0.04962158203125,"Training uses optimizer =""",language
Training uses optimizer =,code,',0.03924560546875,Training uses optimizer =',language
Training uses optimizer =,code,ker,0.031524658203125,Training uses optimizer =ker,code
Training uses optimizer =,code,new,0.022186279296875,Training uses optimizer =new,code
Training uses optimizer =,code,{,0.017547607421875,Training uses optimizer ={,language
Training uses optimizer =,code,,0.01727294921875,Training uses optimizer =,language
Training uses optimizer =,code,S,0.0143280029296875,Training uses optimizer =S,code
Training uses optimizer =,code,"
",0.0122528076171875,"Training uses optimizer =
",language
Training uses optimizer =,code,ad,0.0119705200195312,Training uses optimizer =ad,code
Training uses optimizer =,code,Opt,0.0079421997070312,Training uses optimizer =Opt,code
Training uses optimizer =,code,`,0.0070343017578125,Training uses optimizer =`,code
Training uses optimizer =,code,s,0.0068435668945312,Training uses optimizer =s,language
Training uses optimizer =,code,get,0.0066909790039062,Training uses optimizer =get,code
Training uses optimizer =,code,(,0.0060195922851562,Training uses optimizer =(,language
Training uses optimizer =,code,,0.0059928894042968,Training uses optimizer =None,language
Training uses optimizer =,code,l,0.005523681640625,Training uses optimizer =l,language
Deployment is on,code,going,0.384765625,Deployment is ongoing,language
Deployment is on,code,the,0.10040283203125,Deployment is onthe,language
Deployment is on,code,hold,0.04022216796875,Deployment is onhold,language
Deployment is on,code,its,0.03179931640625,Deployment is onits,language
Deployment is on,code,a,0.03179931640625,Deployment is ona,language
Deployment is on,code,-,0.0272064208984375,Deployment is on-,language
Deployment is on,code,[,0.017303466796875,Deployment is on[,code
Deployment is on,code,"
",0.01690673828125,"Deployment is on
",language
Deployment is on,code,going,0.01226806640625,Deployment is ongoing,language
Deployment is on,code,github,0.0110015869140625,Deployment is ongithub,code
Deployment is on,code,my,0.00970458984375,Deployment is onmy,language
Deployment is on,code,`,0.009552001953125,Deployment is on`,code
Deployment is on,code,!,0.008697509765625,Deployment is on!,language
Deployment is on,code,.,0.0084991455078125,Deployment is on.,language
Deployment is on,code,G,0.0084991455078125,Deployment is onG,code
Deployment is on,code,",",0.0072135925292968,"Deployment is on,",language
Deployment is on,code,GitHub,0.0064163208007812,Deployment is onGitHub,code
Deployment is on,code,her,0.0062408447265625,Deployment is onher,language
Deployment is on,code,track,0.0060997009277343,Deployment is ontrack,language
Deployment is on,code,,0.0060768127441406,Deployment is on,language
CI/CD is,code,a,0.170654296875,CI/CD isa,language
CI/CD is,code,the,0.08251953125,CI/CD isthe,language
CI/CD is,code,an,0.03961181640625,CI/CD isan,language
CI/CD is,code,not,0.0386962890625,CI/CD isnot,language
CI/CD is,code,to,0.01885986328125,CI/CD isto,language
CI/CD is,code,one,0.01702880859375,CI/CD isone,language
CI/CD is,code,used,0.0160064697265625,CI/CD isused,language
CI/CD is,code,that,0.0118026733398437,CI/CD isthat,language
CI/CD is,code,very,0.0101699829101562,CI/CD isvery,language
CI/CD is,code,also,0.0101699829101562,CI/CD isalso,language
CI/CD is,code,still,0.0097808837890625,CI/CD isstill,language
CI/CD is,code,available,0.009185791015625,CI/CD isavailable,language
CI/CD is,code,in,0.0074119567871093,CI/CD isin,language
CI/CD is,code,just,0.0064620971679687,CI/CD isjust,language
CI/CD is,code,important,0.0064620971679687,CI/CD isimportant,language
CI/CD is,code,more,0.0063400268554687,CI/CD ismore,language
CI/CD is,code,now,0.0061454772949218,CI/CD isnow,language
CI/CD is,code,designed,0.0059318542480468,CI/CD isdesigned,language
CI/CD is,code,built,0.0053596496582031,CI/CD isbuilt,language
CI/CD is,code,,0.0051345825195312,CI/CD is,language
Unit tests use,code,the,0.1986083984375,Unit tests usethe,language
Unit tests use,code,a,0.0909423828125,Unit tests usea,language
Unit tests use,code,cases,0.056427001953125,Unit tests usecases,code
Unit tests use,code,case,0.036163330078125,Unit tests usecase,code
Unit tests use,code,cases,0.0168914794921875,Unit tests usecases,code
Unit tests use,code,go,0.0168304443359375,Unit tests usego,language
Unit tests use,code,case,0.0153121948242187,Unit tests usecase,code
Unit tests use,code,this,0.0149002075195312,Unit tests usethis,language
Unit tests use,code,`,0.0119781494140625,Unit tests use`,code
Unit tests use,code,mock,0.010986328125,Unit tests usemock,code
Unit tests use,code,"
",0.0104446411132812,"Unit tests use
",language
Unit tests use,code,-,0.0101242065429687,Unit tests use-,language
Unit tests use,code,of,0.010040283203125,Unit tests useof,language
Unit tests use,code,[,0.0098495483398437,Unit tests use[,code
Unit tests use,code,test,0.0095062255859375,Unit tests usetest,code
Unit tests use,code,an,0.0076446533203125,Unit tests usean,language
Unit tests use,code,to,0.0071525573730468,Unit tests useto,language
Unit tests use,code,"""",0.0069046020507812,"Unit tests use""",language
Unit tests use,code,:,0.0065650939941406,Unit tests use:,language
Unit tests use,code,g,0.00616455078125,Unit tests useg,language
The bundler is,code,a,0.308349609375,The bundler isa,language
The bundler is,code,the,0.0721435546875,The bundler isthe,language
The bundler is,code,responsible,0.056640625,The bundler isresponsible,language
The bundler is,code,an,0.04443359375,The bundler isan,language
The bundler is,code,used,0.02716064453125,The bundler isused,language
The bundler is,code,not,0.023223876953125,The bundler isnot,language
The bundler is,code,installed,0.0151138305664062,The bundler isinstalled,language
The bundler is,code,also,0.012054443359375,The bundler isalso,language
The bundler is,code,in,0.0106353759765625,The bundler isin,language
The bundler is,code,now,0.0103912353515625,The bundler isnow,language
The bundler is,code,included,0.0103073120117187,The bundler isincluded,language
The bundler is,code,required,0.0074844360351562,The bundler isrequired,language
The bundler is,code,configured,0.0061569213867187,The bundler isconfigured,language
The bundler is,code,what,0.0061073303222656,The bundler iswhat,language
The bundler is,code,running,0.0057373046875,The bundler isrunning,language
The bundler is,code,just,0.005645751953125,The bundler isjust,language
The bundler is,code,very,0.005645751953125,The bundler isvery,language
The bundler is,code,still,0.0055618286132812,The bundler isstill,language
The bundler is,code,able,0.0055198669433593,The bundler isable,language
The bundler is,code,currently,0.0050621032714843,The bundler iscurrently,language
Logging is done with,code,the,0.233154296875,Logging is done withthe,language
Logging is done with,code,[,0.1640625,Logging is done with[,code
Logging is done with,code,a,0.06573486328125,Logging is done witha,language
Logging is done with,code,`,0.06524658203125,Logging is done with`,code
Logging is done with,code,log,0.053680419921875,Logging is done withlog,code
Logging is done with,code,Log,0.0310516357421875,Logging is done withLog,code
Logging is done with,code,an,0.0112457275390625,Logging is done withan,language
Logging is done with,code,"
",0.0112457275390625,"Logging is done with
",language
Logging is done with,code,[`,0.0100021362304687,Logging is done with[`,code
Logging is done with,code,this,0.0096969604492187,Logging is done withthis,language
Logging is done with,code,w,0.008758544921875,Logging is done withw,code
Logging is done with,code,sl,0.0070991516113281,Logging is done withsl,code
Logging is done with,code,Python,0.0069313049316406,Logging is done withPython,code
Logging is done with,code,:,0.0068778991699218,Logging is done with:,language
Logging is done with,code,standard,0.0065116882324218,Logging is done withstandard,code
Logging is done with,code,W,0.0060234069824218,Logging is done withW,code
Logging is done with,code,https,0.0057907104492187,Logging is done withhttps,code
Logging is done with,code,python,0.0056571960449218,Logging is done withpython,code
Logging is done with,code,<,0.0049896240234375,Logging is done with<,language
Logging is done with,code,,0.0048027038574218,Logging is done with,language
Message queue is,code,empty,0.09716796875,Message queue isempty,language
Message queue is,code,a,0.07568359375,Message queue isa,language
Message queue is,code,not,0.063720703125,Message queue isnot,language
Message queue is,code,the,0.03228759765625,Message queue isthe,language
Message queue is,code,full,0.0294036865234375,Message queue isfull,language
Message queue is,code,an,0.0229034423828125,Message queue isan,language
Message queue is,code,used,0.0208587646484375,Message queue isused,language
Message queue is,code,to,0.0149002075195312,Message queue isto,language
Message queue is,code,in,0.0121612548828125,Message queue isin,language
Message queue is,code,,0.009735107421875,Message queue is,language
Message queue is,code,"
",0.009002685546875,"Message queue is
",language
Message queue is,code,implemented,0.008331298828125,Message queue isimplemented,language
Message queue is,code,created,0.008331298828125,Message queue iscreated,language
Message queue is,code,also,0.0067672729492187,Message queue isalso,language
Message queue is,code,at,0.0061149597167968,Message queue isat,language
Message queue is,code,always,0.0058364868164062,Message queue isalways,language
Message queue is,code,available,0.0058135986328125,Message queue isavailable,language
Message queue is,code,being,0.005767822265625,Message queue isbeing,language
Message queue is,code,filled,0.0057258605957031,Message queue isfilled,language
Message queue is,code,now,0.0055274963378906,Message queue isnow,language
Input validation uses,code,the,0.1356201171875,Input validation usesthe,language
Input validation uses,code,a,0.09918212890625,Input validation usesa,language
Input validation uses,code,.,0.0302581787109375,Input validation uses.,language
Input validation uses,code,"
",0.027130126953125,"Input validation uses
",language
Input validation uses,code,`,0.0216217041015625,Input validation uses`,code
Input validation uses,code,to,0.0198516845703125,Input validation usesto,language
Input validation uses,code,an,0.019378662109375,Input validation usesan,language
Input validation uses,code,for,0.014068603515625,Input validation usesfor,language
Input validation uses,code,",",0.0115280151367187,"Input validation uses,",language
Input validation uses,code,this,0.0103378295898437,Input validation usesthis,language
Input validation uses,code,,0.0099411010742187,Input validation uses,language
Input validation uses,code,only,0.0090484619140625,Input validation usesonly,language
Input validation uses,code,of,0.0088424682617187,Input validation usesof,language
Input validation uses,code,two,0.0075035095214843,Input validation usestwo,language
Input validation uses,code,in,0.007415771484375,Input validation usesin,language
Input validation uses,code,different,0.006317138671875,Input validation usesdifferent,language
Input validation uses,code,"""",0.0057716369628906,"Input validation uses""",language
Input validation uses,code,validation,0.005279541015625,Input validation usesvalidation,code
Input validation uses,code,regex,0.0048408508300781,Input validation usesregex,code
Input validation uses,code,(,0.004730224609375,Input validation uses(,language
HTTP requests use,code,the,0.291748046875,HTTP requests usethe,language
HTTP requests use,code,a,0.1197509765625,HTTP requests usea,language
HTTP requests use,code,HTTP,0.072021484375,HTTP requests useHTTP,code
HTTP requests use,code,GET,0.026519775390625,HTTP requests useGET,code
HTTP requests use,code,`,0.02130126953125,HTTP requests use`,code
HTTP requests use,code,POST,0.0183563232421875,HTTP requests usePOST,code
HTTP requests use,code,an,0.018218994140625,HTTP requests usean,language
HTTP requests use,code,this,0.0167236328125,HTTP requests usethis,language
HTTP requests use,code,cookies,0.0165863037109375,HTTP requests usecookies,code
HTTP requests use,code,to,0.011138916015625,HTTP requests useto,language
HTTP requests use,code,"
",0.0087432861328125,"HTTP requests use
",language
HTTP requests use,code,JSON,0.0073051452636718,HTTP requests useJSON,code
HTTP requests use,code,.,0.0065498352050781,HTTP requests use.,language
HTTP requests use,code,[,0.0053253173828125,HTTP requests use[,code
HTTP requests use,code,different,0.0047721862792968,HTTP requests usedifferent,language
HTTP requests use,code,TCP,0.004730224609375,HTTP requests useTCP,code
HTTP requests use,code,,0.004730224609375,HTTP requests use,language
HTTP requests use,code,http,0.004608154296875,HTTP requests usehttp,language
HTTP requests use,code,two,0.0042457580566406,HTTP requests usetwo,language
HTTP requests use,code,their,0.0040016174316406,HTTP requests usetheir,language
The authentication is,language,done,0.1617431640625,The authentication isdone,language
The authentication is,language,a,0.080078125,The authentication isa,language
The authentication is,language,the,0.055023193359375,The authentication isthe,language
The authentication is,language,handled,0.050506591796875,The authentication ishandled,language
The authentication is,language,performed,0.04705810546875,The authentication isperformed,language
The authentication is,language,based,0.04705810546875,The authentication isbased,language
The authentication is,language,not,0.036376953125,The authentication isnot,language
The authentication is,language,working,0.0217132568359375,The authentication isworking,language
The authentication is,language,implemented,0.0175933837890625,The authentication isimplemented,language
The authentication is,language,an,0.01690673828125,The authentication isan,language
The authentication is,language,required,0.0142440795898437,The authentication isrequired,language
The authentication is,language,provided,0.013275146484375,The authentication isprovided,language
The authentication is,language,managed,0.01025390625,The authentication ismanaged,language
The authentication is,language,used,0.0101776123046875,The authentication isused,language
The authentication is,language,made,0.0099411010742187,The authentication ismade,language
The authentication is,language,being,0.0085067749023437,The authentication isbeing,language
The authentication is,language,only,0.0081787109375,The authentication isonly,language
The authentication is,language,currently,0.0081100463867187,The authentication iscurrently,language
The authentication is,language,now,0.0080490112304687,The authentication isnow,language
The authentication is,language,in,0.0068855285644531,The authentication isin,language
Verification is done,language,by,0.3134765625,Verification is doneby,language
Verification is done,language,using,0.136962890625,Verification is doneusing,language
Verification is done,language,in,0.07330322265625,Verification is donein,language
Verification is done,language,on,0.068359375,Verification is doneon,language
Verification is done,language,through,0.048065185546875,Verification is donethrough,language
Verification is done,language,via,0.040496826171875,Verification is donevia,language
Verification is done,language,with,0.0389404296875,Verification is donewith,language
Verification is done,language,at,0.02325439453125,Verification is doneat,language
Verification is done,language,as,0.0183868408203125,Verification is doneas,language
Verification is done,language,for,0.01824951171875,Verification is donefor,language
Verification is done,language,to,0.013671875,Verification is doneto,language
Verification is done,language,"
",0.0121612548828125,"Verification is done
",language
Verification is done,language,only,0.0102386474609375,Verification is doneonly,language
Verification is done,language,when,0.0098495483398437,Verification is donewhen,language
Verification is done,language,based,0.0094680786132812,Verification is donebased,language
Verification is done,language,against,0.0091781616210937,Verification is doneagainst,language
Verification is done,language,during,0.0072059631347656,Verification is doneduring,language
Verification is done,language,automatically,0.0068168640136718,Verification is doneautomatically,language
Verification is done,language,.,0.0058326721191406,Verification is done.,language
Verification is done,language,",",0.0055198669433593,"Verification is done,",language
The user id is,language,not,0.09771728515625,The user id isnot,language
The user id is,language,the,0.07916259765625,The user id isthe,language
The user id is,language,a,0.0772705078125,The user id isa,language
The user id is,language,used,0.0465087890625,The user id isused,language
The user id is,language,required,0.037384033203125,The user id isrequired,language
The user id is,language,,0.036224365234375,The user id is,language
The user id is,language,stored,0.035369873046875,The user id isstored,language
The user id is,language,an,0.0207977294921875,The user id isan,language
The user id is,language,passed,0.017791748046875,The user id ispassed,language
The user id is,language,set,0.0173797607421875,The user id isset,language
The user id is,language,in,0.016845703125,The user id isin,language
The user id is,language,:,0.0116729736328125,The user id is:,language
The user id is,language,unique,0.0100631713867187,The user id isunique,language
The user id is,language,always,0.0093765258789062,The user id isalways,language
The user id is,language,defined,0.0087432861328125,The user id isdefined,language
The user id is,language,obtained,0.0083999633789062,The user id isobtained,language
The user id is,language,returned,0.0083999633789062,The user id isreturned,language
The user id is,language,being,0.0083389282226562,The user id isbeing,language
The user id is,language,provided,0.0079574584960937,The user id isprovided,language
The user id is,language,"""",0.0075912475585937,"The user id is""",language
